Building,Energy_kWh,Electricity_Cost,Carbon_Emission
Robotics_Lab,6197769.36,52681039.56,5082170.8752
AI_Lab,6197703.5,52680479.75,5082116.87
Hostel_B,5377772.05,45711062.425,4409773.080999999
Hostel_A,5371752.7,45659897.95,4404837.214
Block_B,4100199.59,34851696.515,3362163.6637999997
Block_A,4090413.93,34768518.405,3354139.4225999997
Cafeteria,3741904.93,31806191.905,3068362.0426
Central_Library,3658447.22,31096801.37,2999926.7204
Sports_Complex,3415039.76,29027837.96,2800332.6032
Admin_Block,3052883.95,25949513.575,2503364.8389999997
