Timestamp,Building,Building_Type,Energy_kWh,Temperature,Humidity,Occupancy,Holiday,Exam_Day,Weekend,Solar_Output,Equipment_Load,Carbon_Emission,Cost,Year,Month,Day,Hour,DayOfWeek,Lag_1,Lag_24,Lag_168,RollingMean_3,RollingMean_24,RollingStd_24,Hour_Sin,Hour_Cos,Day_Sin,Day_Cos,Anomaly
2025-01-08 21:00:00,AI_Lab,Lab,784.86,18.99,55.33,301,1,0,0,0.0,91,643.58,6278.84,2025,1,8,21,2,702.64,646.84,802.82,770.7266666666666,722.5679166666665,64.32892445516222,-0.7071067811865477,0.7071067811865474,0.9749279121818236,-0.2225209339563143,-1
2025-01-09 20:00:00,AI_Lab,Lab,871.7,19.69,62.65,399,0,0,0,0.0,98,714.79,6973.59,2025,1,9,20,3,676.63,702.64,760.94,737.8433333333334,712.7604166666666,59.25073270353538,-0.8660254037844386,0.5000000000000001,0.4338837391175582,-0.900968867902419,-1
2025-01-10 19:00:00,AI_Lab,Lab,848.79,33.81,43.15,236,0,0,0,0.0,99,696.01,6790.34,2025,1,10,19,4,811.86,676.63,789.87,764.34,736.3633333333333,66.40652571826814,-0.9659258262890684,0.2588190451025203,-0.433883739117558,-0.9009688679024191,-1
2025-01-11 11:00:00,AI_Lab,Lab,678.12,27.26,70.89,66,0,1,1,60.85,84,556.06,5424.93,2025,1,11,11,5,607.92,702.66,673.79,680.7566666666667,727.125,75.0693001571678,0.258819045102521,-0.9659258262890682,-0.9749279121818236,-0.2225209339563146,-1
2025-01-11 13:00:00,AI_Lab,Lab,689.8,23.85,75.22,85,1,0,1,36.46,94,565.64,5518.39,2025,1,11,13,5,668.41,742.53,585.38,678.7766666666666,722.5262499999999,76.2458178931517,-0.2588190451025208,-0.9659258262890684,-0.9749279121818236,-0.2225209339563146,-1
2025-01-12 08:00:00,AI_Lab,Lab,761.89,26.67,73.85,299,0,1,1,50.92,91,624.75,6095.14,2025,1,12,8,6,653.97,829.8,703.23,685.7666666666668,697.4187499999999,72.05488543992611,0.8660254037844387,-0.4999999999999998,-0.7818314824680299,0.6234898018587334,-1
2025-01-12 17:00:00,AI_Lab,Lab,734.85,24.82,78.99,212,1,0,1,36.39,80,602.58,5878.81,2025,1,12,17,6,668.89,654.25,721.49,708.6733333333333,710.5008333333334,63.72384011714422,-0.9659258262890684,-0.2588190451025206,-0.7818314824680299,0.6234898018587334,-1
2025-01-12 20:00:00,AI_Lab,Lab,835.54,33.07,72.1,326,0,0,1,0.0,87,685.14,6684.29,2025,1,12,20,6,736.61,698.94,805.1,809.6233333333333,718.5333333333333,72.52196906525249,-0.8660254037844386,0.5000000000000001,-0.7818314824680299,0.6234898018587334,-1
2025-01-12 23:00:00,AI_Lab,Lab,687.94,30.45,76.38,29,0,0,1,0.0,90,564.11,5503.49,2025,1,12,23,6,749.25,588.14,786.18,726.02,723.8433333333332,64.57444020304179,-0.2588190451025215,0.965925826289068,-0.7818314824680299,0.6234898018587334,-1
2025-01-14 09:00:00,AI_Lab,Lab,743.09,30.01,54.75,209,1,0,0,62.45,98,609.33,5944.71,2025,1,14,9,1,603.74,706.58,591.04,683.7033333333333,728.48875,66.56458206378278,0.7071067811865476,-0.7071067811865475,0.7818314824680298,0.6234898018587336,-1
2025-01-17 02:00:00,AI_Lab,Lab,680.79,27.67,75.97,21,1,0,0,0.0,52,558.25,5446.35,2025,1,17,2,4,639.74,804.78,672.11,684.0633333333334,711.3337499999999,55.07725213477328,0.4999999999999999,0.8660254037844387,-0.433883739117558,-0.9009688679024191,-1
2025-01-17 03:00:00,AI_Lab,Lab,833.52,28.41,57.46,343,1,0,0,0.0,79,683.49,6668.19,2025,1,17,3,4,680.79,638.85,761.36,718.0166666666668,719.445,58.18529389877611,0.7071067811865476,0.7071067811865476,-0.433883739117558,-0.9009688679024191,-1
2025-01-17 08:00:00,AI_Lab,Lab,800.46,25.95,60.56,282,1,0,0,17.77,91,656.38,6403.69,2025,1,17,8,4,762.19,713.63,730.11,806.4366666666666,729.5770833333332,61.89796038496614,0.8660254037844387,-0.4999999999999998,-0.433883739117558,-0.9009688679024191,-1
2025-01-18 00:00:00,AI_Lab,Lab,742.79,32.67,62.55,317,1,0,1,0.0,20,609.09,5942.3,2025,1,18,0,5,645.04,731.66,755.15,688.1233333333333,724.7824999999999,60.97844752897103,0.0,1.0,-0.9749279121818236,-0.2225209339563146,-1
2025-01-19 23:00:00,AI_Lab,Lab,874.29,33.26,61.96,353,1,0,1,0.0,77,716.91,6994.29,2025,1,19,23,6,763.07,762.53,687.94,777.88,704.2595833333334,69.5737612009363,-0.2588190451025215,0.965925826289068,-0.7818314824680299,0.6234898018587334,-1
2025-01-20 06:00:00,AI_Lab,Lab,784.95,35.2,79.5,237,0,0,0,0.0,85,643.66,6279.6,2025,1,20,6,0,831.56,755.36,786.28,817.2733333333332,726.4454166666668,78.0197308366213,1.0,6.123233995736766e-17,0.0,1.0,-1
2025-01-20 15:00:00,AI_Lab,Lab,709.57,21.58,77.93,121,1,0,0,39.79,87,581.84,5676.53,2025,1,20,15,0,807.56,609.78,732.55,785.8966666666666,750.5475,65.95406730049538,-0.7071067811865471,-0.7071067811865479,0.0,1.0,-1
2025-01-22 05:00:00,AI_Lab,Lab,632.83,22.66,83.48,34,1,0,0,0.0,68,518.92,5062.63,2025,1,22,5,2,842.53,676.88,775.09,781.5833333333334,723.36875,71.92002365626267,0.9659258262890684,0.2588190451025207,0.9749279121818236,-0.2225209339563143,-1
2025-01-23 06:00:00,AI_Lab,Lab,802.68,20.55,64.71,392,0,1,0,0.0,69,658.2,6421.42,2025,1,23,6,3,781.86,682.97,825.1,802.0666666666666,728.61,78.98657684530409,1.0,6.123233995736766e-17,0.4338837391175582,-0.900968867902419,-1
2025-01-23 11:00:00,AI_Lab,Lab,657.76,28.03,71.42,84,1,0,0,32.51,84,539.36,5262.07,2025,1,23,11,3,597.22,773.7,718.39,640.7766666666666,721.7458333333334,87.2727003441644,0.258819045102521,-0.9659258262890682,0.4338837391175582,-0.900968867902419,-1
2025-01-23 20:00:00,AI_Lab,Lab,804.0,23.57,68.8,328,0,1,0,0.0,68,659.28,6432.02,2025,1,23,20,3,686.88,828.52,753.44,729.5433333333334,731.6991666666667,80.924481162682,-0.8660254037844386,0.5000000000000001,0.4338837391175582,-0.900968867902419,-1
2025-01-23 21:00:00,AI_Lab,Lab,648.08,23.96,67.0,31,0,1,0,0.0,64,531.43,5184.65,2025,1,23,21,3,804.0,871.1,687.95,712.9866666666667,722.4066666666668,76.92709912449666,-0.7071067811865477,0.7071067811865474,0.4338837391175582,-0.900968867902419,-1
2025-01-25 04:00:00,AI_Lab,Lab,676.55,23.53,50.42,122,1,0,1,0.0,82,554.77,5412.37,2025,1,25,4,5,747.1,660.13,723.88,702.4966666666668,729.685,73.6911115517951,0.8660254037844386,0.5000000000000001,-0.9749279121818236,-0.2225209339563146,-1
2025-01-25 05:00:00,AI_Lab,Lab,671.49,22.47,48.88,101,1,1,1,0.0,40,550.62,5371.93,2025,1,25,5,5,676.55,675.48,656.29,698.38,729.5187500000001,73.82309961996977,0.9659258262890684,0.2588190451025207,-0.9749279121818236,-0.2225209339563146,-1
2025-01-25 08:00:00,AI_Lab,Lab,730.4,24.63,74.77,278,0,1,1,41.55,65,598.93,5843.22,2025,1,25,8,5,645.39,713.95,788.34,723.8033333333333,730.9166666666666,70.98624831103093,0.8660254037844387,-0.4999999999999998,-0.9749279121818236,-0.2225209339563146,-1
2025-01-25 22:00:00,AI_Lab,Lab,817.83,25.07,56.1,394,0,0,1,0.0,63,670.62,6542.68,2025,1,25,22,5,676.83,798.89,645.06,750.07,695.5104166666666,60.02811134787383,-0.5000000000000004,0.8660254037844384,-0.9749279121818236,-0.2225209339563146,-1
2025-01-26 22:00:00,AI_Lab,Lab,849.53,28.06,65.65,371,0,0,1,0.0,98,696.62,6796.26,2025,1,26,22,6,727.82,817.83,763.07,798.9133333333333,717.5670833333334,63.24813813923448,-0.5000000000000004,0.8660254037844384,-0.7818314824680299,0.6234898018587334,-1
2025-01-27 04:00:00,AI_Lab,Lab,757.56,24.74,57.5,190,0,1,0,0.0,87,621.2,6060.47,2025,1,27,4,0,785.09,787.7,835.31,761.3433333333332,707.3233333333334,60.18099791582817,0.8660254037844386,0.5000000000000001,0.0,1.0,-1
2025-01-27 20:00:00,AI_Lab,Lab,838.97,27.76,59.9,388,0,1,0,0.0,59,687.95,6711.72,2025,1,27,20,0,753.27,819.39,801.82,815.5,734.8433333333332,70.59970480703528,-0.8660254037844386,0.5000000000000001,0.0,1.0,-1
2025-01-28 11:00:00,AI_Lab,Lab,625.5,21.06,49.34,61,0,0,0,68.1,93,512.91,5003.99,2025,1,28,11,1,658.13,762.9,791.86,633.7199999999999,722.32375,81.72394374342339,0.258819045102521,-0.9659258262890682,0.7818314824680298,0.6234898018587336,-1
2025-01-28 23:00:00,AI_Lab,Lab,862.14,30.19,65.95,295,0,0,0,0.0,95,706.95,6897.11,2025,1,28,23,1,742.92,802.0,705.17,791.5066666666667,704.4116666666667,79.38902895766263,-0.2588190451025215,0.965925826289068,0.7818314824680298,0.6234898018587336,-1
2025-01-29 03:00:00,AI_Lab,Lab,806.46,24.65,64.6,340,0,1,0,0.0,41,661.3,6451.72,2025,1,29,3,2,745.63,806.61,869.39,781.8666666666667,712.32875,78.88052128060512,0.7071067811865476,0.7071067811865476,0.9749279121818236,-0.2225209339563143,-1
2025-01-30 20:00:00,AI_Lab,Lab,721.31,32.06,58.61,119,0,1,0,0.0,87,591.47,5770.47,2025,1,30,20,3,749.0,688.7,804.0,747.4866666666667,718.9766666666668,51.51959548405407,-0.8660254037844386,0.5000000000000001,0.4338837391175582,-0.900968867902419,-1
2025-01-30 23:00:00,AI_Lab,Lab,765.54,26.53,77.47,390,1,0,0,0.0,22,627.74,6124.32,2025,1,30,23,3,672.87,667.48,685.52,733.9466666666666,721.05375,50.35385273567525,-0.2588190451025215,0.965925826289068,0.4338837391175582,-0.900968867902419,-1
2025-01-31 13:00:00,AI_Lab,Lab,678.67,26.8,61.08,143,1,0,0,42.66,80,556.51,5429.32,2025,1,31,13,4,641.04,667.65,782.38,649.94,697.0216666666666,43.80057183135448,-0.2588190451025208,-0.9659258262890684,-0.433883739117558,-0.9009688679024191,-1
2025-02-01 00:00:00,AI_Lab,Lab,691.6,29.14,43.78,135,0,1,1,0.0,46,567.11,5532.78,2025,2,1,0,5,745.98,722.24,639.26,707.8633333333333,695.4695833333334,51.66805164401331,0.0,1.0,-0.9749279121818236,-0.2225209339563146,-1
2025-02-01 14:00:00,AI_Lab,Lab,819.98,36.39,51.34,391,0,0,1,50.76,85,672.39,6559.88,2025,2,1,14,5,650.16,786.0,781.4,751.3966666666666,728.0004166666666,59.48570456542418,-0.4999999999999997,-0.8660254037844388,-0.9749279121818236,-0.2225209339563146,-1
2025-02-02 01:00:00,AI_Lab,Lab,750.19,34.09,59.24,158,0,0,1,0.0,89,615.16,6001.55,2025,2,2,1,6,720.21,812.88,740.07,742.9566666666666,737.475,55.866134721274975,0.2588190451025207,0.9659258262890684,-0.7818314824680299,0.6234898018587334,-1
2025-02-02 16:00:00,AI_Lab,Lab,698.62,24.9,60.31,285,0,1,1,67.89,53,572.87,5588.98,2025,2,2,16,6,717.49,792.2,626.34,709.2066666666666,725.1279166666667,40.04208220915741,-0.8660254037844385,-0.5000000000000004,-0.7818314824680299,0.6234898018587334,-1
2025-02-02 17:00:00,AI_Lab,Lab,844.28,26.3,76.11,397,0,0,1,14.77,82,692.31,6754.23,2025,2,2,17,6,698.62,803.48,681.35,753.4633333333333,726.8279166666666,44.16681913905856,-0.9659258262890684,-0.2588190451025206,-0.7818314824680299,0.6234898018587334,-1
2025-02-02 20:00:00,AI_Lab,Lab,680.75,26.82,62.88,60,0,0,1,0.0,86,558.21,5445.99,2025,2,2,20,6,784.84,674.8,819.39,716.5833333333334,727.8158333333332,45.70667318005541,-0.8660254037844386,0.5000000000000001,-0.7818314824680299,0.6234898018587334,-1
2025-02-02 22:00:00,AI_Lab,Lab,652.21,32.42,72.88,25,0,0,1,0.0,42,534.81,5217.64,2025,2,2,22,6,809.69,759.8,849.53,714.2166666666667,728.0629166666668,50.40833682594538,-0.5000000000000004,0.8660254037844384,-0.7818314824680299,0.6234898018587334,-1
2025-02-03 11:00:00,AI_Lab,Lab,852.34,32.78,83.45,383,0,1,0,57.5,93,698.92,6818.74,2025,2,3,11,0,706.16,805.54,762.9,744.84,713.4391666666667,78.07669317194895,0.258819045102521,-0.9659258262890682,0.0,1.0,-1
